item_id,brand,corner,category,price
P6123900003020,엘칸토현금,임대슈즈,패션슈즈,38400
P4203760013082,데무,캐리어캐쥬얼,영캐릭터캐쥬얼,169000
P4401951020470,블루독,아동복,아동,47000
P4244761011053,ENC,영캐쥬얼,영트랜디,82600
P4505500040020,행남도자기,초도자기,식기,28000
P4218913113100,임프레션,미확인코너,디자이너부틱,33000
P4101010200120,AQ넥타이,넥타이,셔츠,47200
P4208200113100,제임스딘.P,미확인코너,디자이너부틱,43000
P4242370013076,카라,캐릭터,미씨캐릭터,39000
P6311169019900,프라이언,트래디셔널캐쥬얼,트래디셔널캐쥬얼,45000
P4506910046000,라라아비스,미확인코너,침구/수예,335000
P4207930013072,정호진,니트,니트/단품,128000
P2800429613002,밀라노스토리  천호점지원,캐리어캐쥬얼,영캐릭터캐쥬얼,39000
P4131110006000,발렌티노루디,준보석,악세사리,105000
P4536650043300,발렌티노루디,욕실용품,식기,44000
P4309200019920,워모,캐릭터,캐쥬얼,70000
P4314540019900,레노마,디자이너,캐쥬얼,62000
P4545140046000,미쏘니,브랜드침구,수예,500000
P4131990203983,우연,미확인코너,여성구두,195000
P4141360003983,두보(구두),미확인코너,여성구두,59000
P4208790011010,쿠기,영캐쥬얼,영트랜디,133000
P4210454113074,로질리,영캐주얼,트랜디 케쥬얼,88000
P4417420026010,GV2,진캐쥬얼,진캐쥬얼,294300
P4208200113500,제임스딘.P,란제리,란제리,103500
P4401950020000,파파리노,아동복,아동,47000
P4121120006620,한아름,헤어액세사리,장신구,38400
P4118941006800,이복희,일반악세사리,장신구,60000
P4554060050171,파카,문구/팬시,가전/문화,51300
P4105200004000,MCM,핸드백,핸드백,22000
P4405231026010,루츠,진캐쥬얼,진캐쥬얼,171000
P4422391028400,닥터마틴슈즈,슈즈,스포츠,152000
P4400491027030,리복의류,스포츠웨어,스포츠,48300
P4208380011681,진도모피,모피.피혁,수입명품,5320000
P6135440003020,에스콰아이현금,NB제화,피혁A,10400
P4524810935000,큰사랑,전화기/카세트,가전,326400
P4303050019980,캠브리지,특정,정장,625000
P4400801028452,프로스펙스슈즈,스포츠슈즈,스포츠,45600
P4407980020000,이솝키드,아동,아동,122000
P4100640003200,소다,캐쥬얼구두,남여구두,128000
P4312200015500,폴로,트레디셔널캐주얼,트래디셔널,85000
P4312200019900,폴로,트레디셔널캐주얼,트래디셔널,108000
P4125711009500,G-SHOCK,장신구,소품,140000
P4400211022000,파코라반,미확인코너,아동,40500
P6138330006000,그린젬,보석,장신구,-45000
P4131070003200,미소페,싸롱화,피혁A,138000
P4135140006900,아가타,수입ACC,장신구,44000
P4100103004000,가파치핸드백,핸드백,핸드백,65000
P4208201313100,보디가드,란제리,미씨캐릭터,67400
P4552970046673,삐엥또,수예,침구/수예,90000
P4415082020470,나이키키즈,아동단품,아동,47000
P4310990019953,피에르가르뎅,어덜트,캐쥬얼,110600
P4400600025030,링스,수입,골프,180600
