my_id,유형
A014983,무면허
A025643,무면허
A012956,무면허
A001947,무면허
A073490,무면허
A003747,무면허
A066271,무면허
A024079,무면허
A025918,무면허
A027413,무면허
A064291,무면허
A018190,무면허
A041668,무면허
A060080,무면허
A057716,무면허
A024305,무면허
A035690,무면허
A046219,무면허
A013924,무면허
A064961,무면허
A017427,무면허
A017891,무면허
A033527,무면허
A066733,무면허
A042509,무면허
A058415,무면허
A071913,무면허
A055800,무면허
A062153,무면허
A012545,무면허
A042738,무면허
A024663,무면허
A041342,무면허
A045918,무면허
A051248,무면허
A022486,무면허
A068511,무면허
A017802,무면허
A031197,무면허
A035898,무면허
A004588,무면허
A059292,무면허
A053826,무면허
A031123,무면허
A068380,무면허
A009959,무면허
A052701,무면허
A048738,무면허
A064743,무면허
A060769,무면허
A023294,무면허
A040400,무면허
A040751,무면허
A034351,무면허
A007049,무면허
A027972,무면허
A015349,무면허
A051858,무면허
A025613,무면허
A061826,무면허
A068348,무면허
A033956,무면허
A038144,무면허
A048378,무면허
A061303,무면허
A028521,무면허
A064638,무면허
A015004,무면허
A068188,무면허
A021939,무면허
A059998,무면허
A057137,무면허
A035656,무면허
A051757,무면허
A001557,무면허
A016969,무면허
A051144,무면허
A000902,무면허
A057418,무면허
A067610,무면허
A072515,무면허
A056066,무면허
A016666,무면허
A057810,무면허
A032228,무면허
A064453,무면허
A069059,무면허
A043836,무면허
A032730,무면허
A046529,무면허
A066921,무면허
A018200,무면허
A049010,무면허
A043986,무면허
A043365,무면허
A057695,무면허
A046542,무면허
A067181,무면허
A068014,무면허
A025199,무면허
A069954,무면허
A025767,무면허
A001289,무면허
A041111,무면허
A045256,무면허
A004001,무면허
A007983,무면허
A014348,무면허
A063590,무면허
A023295,무면허
A068882,무면허
A048884,무면허
A048804,무면허
A056171,무면허
A055662,무면허
A041273,무면허
A072238,무면허
A029804,무면허
A012013,무면허
A003049,무면허
A057380,무면허
A029822,무면허
A068993,무면허
A033949,무면허
A050759,무면허
A069419,무면허
A074270,무면허
A050398,무면허
A030908,무면허
A019649,무면허
A034127,무면허
A001923,무면허
A020380,무면허
A071898,무면허
A044051,무면허
A020121,무면허
A015010,무면허
A044487,무면허
A049498,무면허
A010521,무면허
A074167,무면허
A052869,무면허
A034031,무면허
A023170,무면허
A006754,무면허
A060630,무면허
A032160,무면허
A027330,무면허
A039927,무면허
A008341,무면허
A010318,무면허
A036327,무면허
A034435,무면허
A015450,무면허
A044611,무면허
A020652,무면허
A029652,무면허
A056295,무면허
A053160,무면허
A012981,무면허
A056801,무면허
A042356,무면허
A018143,무면허
A027169,무면허
A051379,무면허
A066629,무면허
A007127,무면허
A027345,무면허
A066453,무면허
A034437,무면허
A031383,무면허
A070311,무면허
A040482,무면허
A055969,무면허
A033820,무면허
A025685,무면허
A073118,무면허
A005849,무면허
A003776,무면허
A060701,무면허
A026701,무면허
A035017,무면허
A049581,무면허
A031974,무면허
A001545,무면허
A069446,무면허
A016153,무면허
A047704,무면허
A019459,무면허
A007119,무면허
A042989,무면허
A040317,무면허
A010471,무면허
A056736,무면허
A041929,무면허
A013405,무면허
A065282,무면허
A067742,무면허
A007771,무면허
A036035,무면허
A011648,무면허
A003352,무면허
A053217,무면허
A017622,무면허
A042068,무면허
A068687,무면허
A058767,무면허
A039302,무면허
A005887,무면허
A072493,무면허
A024830,무면허
A057847,무면허
A015706,무면허
A047986,무면허
A064353,무면허
A009086,무면허
A047416,무면허
A043193,무면허
A004125,무면허
A043667,무면허
A048693,무면허
A013420,무면허
A042279,터널사고
A047626,터널사고
A021875,터널사고
A044286,터널사고
A003512,터널사고
A073088,터널사고
A039493,터널사고
A001554,터널사고
A001754,터널사고
A043886,터널사고
A014226,터널사고
A040493,터널사고
A027315,터널사고
A036394,터널사고
A065085,터널사고
A050740,터널사고
A020894,터널사고
A037172,터널사고
A067256,터널사고
A035518,터널사고
A001725,터널사고
A072563,터널사고
A070476,터널사고
A026971,터널사고
A015765,터널사고
A038153,터널사고
A007238,터널사고
A070990,터널사고
A056817,터널사고
A071466,터널사고
A011356,터널사고
A022009,터널사고
A034184,터널사고
A028871,터널사고
A008169,터널사고
A069072,터널사고
A046132,터널사고
A033000,터널사고
A064470,터널사고
A011084,터널사고
A045050,터널사고
A002967,터널사고
A064910,터널사고
A051787,터널사고
A074166,터널사고
A048084,터널사고
A032423,터널사고
A070485,터널사고
A007392,터널사고
A066591,터널사고
A052452,터널사고
A031756,터널사고
A022601,터널사고
A015722,터널사고
A063079,터널사고
A028895,터널사고
A036804,터널사고
A034235,터널사고
A018773,터널사고
A013538,터널사고
A061172,터널사고
A051852,터널사고
A012831,터널사고
A042906,터널사고
A008328,터널사고
A036335,터널사고
A000050,터널사고
A003181,터널사고
A024665,터널사고
A051784,터널사고
A035915,터널사고
A055320,터널사고
A009815,터널사고
A072216,터널사고
A016102,터널사고
A063379,터널사고
A051736,터널사고
A046980,터널사고
A060614,터널사고
A047771,터널사고
A070077,터널사고
A043349,터널사고
A040407,터널사고
A066564,터널사고
A019081,터널사고
A036650,터널사고
A051772,터널사고
A040063,터널사고
A068198,터널사고
A038417,터널사고
A030462,터널사고
A049270,터널사고
A038694,터널사고
A062777,터널사고
A051269,터널사고
A054941,터널사고
A003631,터널사고
A033948,터널사고
A040449,터널사고
A040975,터널사고
A030347,터널사고
A057217,터널사고
A040871,터널사고
A018515,터널사고
A023883,터널사고
A067967,터널사고
A023607,터널사고
A062406,터널사고
A028855,터널사고
A015842,터널사고
A006721,터널사고
A040421,터널사고
A000262,터널사고
A046615,터널사고
A031055,터널사고
A046972,터널사고
A037052,터널사고
A032640,터널사고
A020965,터널사고
A067589,터널사고
A037037,터널사고
A063309,터널사고
A028035,터널사고
A004976,터널사고
A020545,터널사고
A005099,터널사고
A003072,터널사고
A068272,터널사고
A054263,터널사고
A070483,터널사고
A070511,터널사고
A019949,터널사고
A051945,터널사고
A046425,터널사고
A067242,터널사고
A065015,터널사고
A021195,터널사고
A049814,터널사고
A042485,터널사고
A042547,터널사고
A006606,터널사고
A070056,터널사고
A065108,터널사고
A025240,터널사고
A000354,터널사고
A046936,터널사고
A053541,터널사고
A015250,터널사고
A065784,터널사고
A046812,터널사고
A010215,터널사고
A020292,터널사고
A000298,터널사고
A011959,터널사고
A010557,터널사고
A032269,터널사고
A029167,터널사고
A006081,터널사고
A056413,터널사고
A006626,터널사고
A008624,터널사고
A022524,터널사고
A000792,터널사고
A050334,터널사고
A024588,터널사고
A008911,터널사고
A032172,터널사고
A010878,터널사고
A053691,터널사고
A037642,터널사고
A024845,터널사고
A025321,터널사고
A034065,터널사고
A048113,터널사고
A071454,터널사고
A018865,터널사고
A011441,터널사고
A053845,터널사고
A003370,터널사고
A010393,터널사고
A063773,터널사고
A032595,터널사고
A010732,터널사고
A053820,터널사고
A057164,터널사고
A010678,터널사고
A014776,터널사고
A015631,터널사고
A051716,터널사고
A042509,터널사고
A009136,터널사고
A030577,터널사고
A016197,터널사고
A051701,터널사고
A026140,터널사고
A063777,터널사고
A029127,터널사고
A040847,터널사고
A059593,터널사고
A015028,터널사고
A008973,터널사고
A038303,터널사고
A025814,터널사고
A021224,터널사고
A051318,터널사고
A007914,터널사고
A053592,터널사고
A011330,터널사고
A026250,터널사고
A069687,터널사고
A028074,터널사고
A009140,터널사고
A001003,터널사고
A046430,터널사고
A062080,터널사고
A026873,터널사고
A061370,터널사고
A016653,터널사고
A023682,터널사고
A054107,터널사고
A028496,터널사고
A006225,터널사고
A024122,터널사고
A012946,터널사고
A019947,터널사고
A067635,터널사고
A001929,터널사고
A058506,터널사고
A030094,터널사고
A042279,택시사고
A028029,택시사고
A039172,택시사고
A051455,택시사고
A012722,택시사고
A041987,택시사고
A013333,택시사고
A038573,택시사고
A045883,택시사고
A073651,택시사고
A007208,택시사고
A005947,택시사고
A011006,택시사고
A052112,택시사고
A051915,택시사고
A058426,택시사고
A023072,택시사고
A045282,택시사고
A053745,택시사고
A030288,택시사고
A071156,택시사고
A068218,택시사고
A057338,택시사고
A058267,택시사고
A043000,택시사고
A072438,택시사고
A018846,택시사고
A015134,택시사고
A030801,택시사고
A042259,택시사고
A059132,택시사고
A063556,택시사고
A046048,택시사고
A044283,택시사고
A048008,택시사고
A038276,택시사고
A035923,택시사고
A002315,택시사고
A015611,택시사고
A030548,택시사고
A014442,택시사고
A025004,택시사고
A040819,택시사고
A061067,택시사고
A033081,택시사고
A006621,택시사고
A031140,택시사고
A049584,택시사고
A017420,택시사고
A070317,택시사고
A011050,택시사고
A018081,택시사고
A072741,택시사고
A066275,택시사고
A048675,택시사고
A071292,택시사고
A049638,택시사고
