artist_id,name,followers,popularity,url,image_url
5O2Gph0YtABIs0zaP65nlm,Booker T.,1800,33,https://open.spotify.com/artist/5O2Gph0YtABIs0zaP65nlm,https://i.scdn.co/image/ab67616d0000b273f0c73026289ea3e62a37b7f6
6O74knDqdv3XaWtkII7Xjp,Boyz II Men,2600511,64,https://open.spotify.com/artist/6O74knDqdv3XaWtkII7Xjp,https://i.scdn.co/image/c8b0d67be35852171d04d7309c2cfe1992a8a4eb
5q8HGNo0BjLWaTAhRtbwxa,Brantley Gilbert,2694310,65,https://open.spotify.com/artist/5q8HGNo0BjLWaTAhRtbwxa,https://i.scdn.co/image/ab6761610000e5eb891ad6bfade113366ffb7698
3nXMZsj1H0F7h9SDUeYNjg,Brenda Holloway,39771,30,https://open.spotify.com/artist/3nXMZsj1H0F7h9SDUeYNjg,https://i.scdn.co/image/ab67616d0000b273e1b457da33ad6c1aa91f79e3
7MSUfLeTdDEoZiJPDSBXgi,Brian Eno,617804,59,https://open.spotify.com/artist/7MSUfLeTdDEoZiJPDSBXgi,https://i.scdn.co/image/ab6761610000e5ebf4354b8e4e0fb2860e1c3694
6h3rSZ8VLK7a5vXjEmhfuD,The Brothers Johnson,350038,51,https://open.spotify.com/artist/6h3rSZ8VLK7a5vXjEmhfuD,https://i.scdn.co/image/da974f58395fa763d0559071e73774cdc54ff3f9
3eqjTLE0HfPfh78zjh6TqT,Bruce Springsteen,5117474,74,https://open.spotify.com/artist/3eqjTLE0HfPfh78zjh6TqT,https://i.scdn.co/image/ab6761610000e5ebf7cac48c6b587b927ba73f4e
3Z02hBLubJxuFJfhacLSDc,Bryan Adams,2807985,73,https://open.spotify.com/artist/3Z02hBLubJxuFJfhacLSDc,https://i.scdn.co/image/ab6761610000e5eb8009ff2c16ef26e06e4d6623
5RNFFojXkPRmlJZIwXeKQC,Bryan Ferry,496023,57,https://open.spotify.com/artist/5RNFFojXkPRmlJZIwXeKQC,https://i.scdn.co/image/ab6761610000e5eb039e35b7703bade5d61bd906
2gCsNOpiBaMNh20jQ5prf0,Buddy Guy,740291,53,https://open.spotify.com/artist/2gCsNOpiBaMNh20jQ5prf0,https://i.scdn.co/image/ab6761610000e5ebb421cddbc392e714006f6606
3wYyutjgII8LJVVOLrGI0D,Buddy Holly,1104264,57,https://open.spotify.com/artist/3wYyutjgII8LJVVOLrGI0D,https://i.scdn.co/image/ff6c6ecd90618f5fb0f8fbf51bf8477586c8843b
6qaKS0nzGP4hfjl4aFZmEU,Burning Spear,433166,47,https://open.spotify.com/artist/6qaKS0nzGP4hfjl4aFZmEU,https://i.scdn.co/image/be146a84cc7f88594eba0ef842a7dc3ce7836b24
35y7CZMg7jbG8Q96JY7dyC,Burt Bacharach,166985,46,https://open.spotify.com/artist/35y7CZMg7jbG8Q96JY7dyC,https://i.scdn.co/image/2e924297cd6811acae0540d5fb7e4870593b14bf
1nivFfWu6oXBFDNyVfFU5x,The Cadillac Three,154799,57,https://open.spotify.com/artist/1nivFfWu6oXBFDNyVfFU5x,https://i.scdn.co/image/ab6761610000e5ebb2845a40fdd4133cce1f036c
4bwIf0yXJf0F9AmOl2J78M,Camellia,157736,52,https://open.spotify.com/artist/4bwIf0yXJf0F9AmOl2J78M,https://i.scdn.co/image/ab6761610000e5ebc1f9dd30f82038e91e865d82
27a0GiCba9K9lnkKidroFU,Canned Heat,543808,56,https://open.spotify.com/artist/27a0GiCba9K9lnkKidroFU,https://i.scdn.co/image/ab6761610000e5ebe205bb8e13cd75d79b9a6c44
2k8kY9zHUWxuTtwV4UutHw,Captain Beefheart & His Magic Band,173309,44,https://open.spotify.com/artist/2k8kY9zHUWxuTtwV4UutHw,https://i.scdn.co/image/49afcbded4da4e8f8508fb499422beb3141147a2
37J1PlAkhRK7yrZUtqaUpQ,Caravan Palace,928710,59,https://open.spotify.com/artist/37J1PlAkhRK7yrZUtqaUpQ,https://i.scdn.co/image/ab6761610000e5ebdedbe7030797b73b6a77e39f
1eEfMU2AhEo7XnKgL7c304,Carpenters,2571993,65,https://open.spotify.com/artist/1eEfMU2AhEo7XnKgL7c304,https://i.scdn.co/image/ed45f575339b044d7168780a15ff457b85be851a
08F3Y3SctIlsOEmKd6dnH8,Yusuf / Cat Stevens,1602816,67,https://open.spotify.com/artist/08F3Y3SctIlsOEmKd6dnH8,https://i.scdn.co/image/ab6761610000e5ebcff97c36c1d9a2a1d421966c
4Ww5mwS7BWYjoZTUIrMHfC,Charlie Parker,532130,49,https://open.spotify.com/artist/4Ww5mwS7BWYjoZTUIrMHfC,https://i.scdn.co/image/ab6761610000e5eb5642427a0fb3988948c9bec4
1LB8qB5BPb3MHQrfkvifXU,Cheap Trick,1245364,61,https://open.spotify.com/artist/1LB8qB5BPb3MHQrfkvifXU,https://i.scdn.co/image/ab6772690000c46c5ad27b7aba43e761f7e3ec46
1GhPHrq36VKCY3ucVaZCfo,The Chemical Brothers,1801459,60,https://open.spotify.com/artist/1GhPHrq36VKCY3ucVaZCfo,https://i.scdn.co/image/ab6761610000e5ebae05213e52565bfd7e7489b3
3uk3Jz2yT37niCo3c5GMf2,CHERRYFILTER,8496,27,https://open.spotify.com/artist/3uk3Jz2yT37niCo3c5GMf2,https://i.scdn.co/image/ab67616d0000b273d0493658f351b1972a3f174a
0XHiH53dHrvbwfjYM7en7I,Chris Cornell,1878849,59,https://open.spotify.com/artist/0XHiH53dHrvbwfjYM7en7I,https://i.scdn.co/image/85eb1c9e95d3b74bd7304e8b89d7c48601f07845
4YLtscXsxbVgi031ovDDdh,Chris Stapleton,4945888,76,https://open.spotify.com/artist/4YLtscXsxbVgi031ovDDdh,https://i.scdn.co/image/ab6761610000e5eba0c87c8f329b436eac8b9784
293zczrfYafIItmnmM3coR,Chuck Berry,1681422,64,https://open.spotify.com/artist/293zczrfYafIItmnmM3coR,https://i.scdn.co/image/d58323616d4f5d22b51e9dfe0ba53aedabe53cd4
7HL4id2U7FSDJtfKQHMgQx,Cinderella,1457913,57,https://open.spotify.com/artist/7HL4id2U7FSDJtfKQHMgQx,https://i.scdn.co/image/ab6761610000e5ebaa397a18bdfd4c1dd44557c9
3RGLhK1IP9jnYFH4BRFJBS,The Clash,2409196,69,https://open.spotify.com/artist/3RGLhK1IP9jnYFH4BRFJBS,https://i.scdn.co/image/ab470b275daa38351810a1eb91d107ebdb821302
4eeRviM714mXXeILmKHxh2,Climax Blues Band,77401,43,https://open.spotify.com/artist/4eeRviM714mXXeILmKHxh2,https://i.scdn.co/image/e3c7e14808087e271f34550089881ee74f89c704
0JM134st8VY7Ld9T2wQiH0,Coleman Hawkins,116796,49,https://open.spotify.com/artist/0JM134st8VY7Ld9T2wQiH0,https://i.scdn.co/image/ab6761610000e5eb3c0789f0ae8538e9e24a7d15
6twIAGnYuIT1pncMAsXnEm,Commodores,1577725,63,https://open.spotify.com/artist/6twIAGnYuIT1pncMAsXnEm,https://i.scdn.co/image/ab6761610000e5eb21a213a4fe1a6f9b45d3f7f9
2GHclqNVjqGuiE5mA7BEoc,Common,841233,61,https://open.spotify.com/artist/2GHclqNVjqGuiE5mA7BEoc,https://i.scdn.co/image/ab6761610000e5ebfb368ffc33165c47d45ec2cc
18h3nc5ixeV80KKGWDAaMG,The Common Linnets,56018,45,https://open.spotify.com/artist/18h3nc5ixeV80KKGWDAaMG,https://i.scdn.co/image/ab6761610000e5eb7e65fdac8ba62383784c5632
29WzbAQtDnBJF09es0uddn,Corinne Bailey Rae,703778,61,https://open.spotify.com/artist/29WzbAQtDnBJF09es0uddn,https://i.scdn.co/image/914ae1ce7fb065cfb0c89794e5e41c6eca758df3
2jFZlvIea42ZvcCw4OeEdA,Count Basie,316067,60,https://open.spotify.com/artist/2jFZlvIea42ZvcCw4OeEdA,https://i.scdn.co/image/4f5e6383a803df41153fd871f6d0d0af7b9f08a0
0vEsuISMWAKNctLlUAhSZC,Counting Crows,1556953,67,https://open.spotify.com/artist/0vEsuISMWAKNctLlUAhSZC,https://i.scdn.co/image/ab6761610000e5eba6f88c86470fd6350f4a5535
526q7RxT5KA1VGeQ5GMSHO,Craig Armstrong,72912,54,https://open.spotify.com/artist/526q7RxT5KA1VGeQ5GMSHO,https://i.scdn.co/image/ab6761610000e5eb941076133918666f0fe65710
7t0rwkOPGlDPEhaOcVtOt9,The Cranberries,3081380,71,https://open.spotify.com/artist/7t0rwkOPGlDPEhaOcVtOt9,https://i.scdn.co/image/143c01f407ed64a4b3bcbc92d24c05ef80981251
74oJ4qxwOZvX6oSsu1DGnw,Cream,2027281,61,https://open.spotify.com/artist/74oJ4qxwOZvX6oSsu1DGnw,https://i.scdn.co/image/aab6a0a0e9ca2ab17460b0451e59ba507cc5802a
