STU_ID,X1SEX,X1RACE,X1STDOB,X1TXMTH,X1TXMSEM,X1TXMSCR,X1TXMTSCOR,X1TXMPROF1,X1TXMPROF2,X1TXMPROF3,X1TXMPROF4,X1TXMPROF5,X1PAR1EDU,X1PAR1EMP,X1PAR1OCC2,X1PAR1RACE,X1P2RELATION,X1PAR2EDU,X1PAR2OCC2,X1PAREDU,X1PARPATTERN,X1MOMEDU,X1MOMEMP,X1MOMOCC2,X1MOMRACE,X1DADEDU,X1DADOCC2,X1HHNUMBER,X1FAMINCOME,X1SES,X1SESQ5,X1SES_U,X1SESQ5_U,X1MTHID,X1MTHUTI,X1MTHEFF,X1MTHINT,X1SCIID,X1SCIUTI,X1SCIEFF,X1SCIINT,X1SCHOOLBEL,X1SCHOOLENG,X1STUEDEXPCT,X1PAREDEXPCT,X1TMLINK,X1TMCRSLINK,X1TMCOMM,X1TMEFF,X1TMEXP,X1TMPRINC,X1TMRESP,X1TSLINK,X1TSCRSLINK,X1TSCOMM,X1TSEFF,X1TSEXP,X1TSPRINC,X1TSRESP,X1LOCALE,X1REGION,X1SCHOOLCLI,X1COUPERTEA,X1COUPERCOU,X1COUPERPRI,X1AQSTAT,birthyear,birthmonth,X1STU30OCC2
22077,2,8,199505.0,-0.8771,0.2872,27.3014,41.6452,0.7882,0.1414,0.06,0.0436,0.0477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011,3,-0.0381,3,0.03,-0.76,0.1,-0.36,-0.33,0.1,0.25,0.16,-0.14,-1.85,11,0.0,3,2,-0.25,-1.33,1.29,-0.23,-0.13,3,2,-1.14,-1.46,1.02,1.32,0.7,4,2,-0.31,0.02,-0.75,-0.91,1,5,5,9
22078,2,8,199509.0,-0.8143,0.2343,28.1148,42.2974,0.824,0.1637,0.0658,0.0445,0.0479,7.0,4.0,29.0,8.0,0.0,0.0,0.0,7.0,7.0,7.0,4.0,29.0,8.0,0.0,0.0,3.0,8.0,1.7957,5,1.8181,5,-0.57,-0.7,-0.58,0.19,-0.33,0.1,0.25,0.16,1.26,1.01,8,10.0,8,8,-0.03,0.2,0.3,-0.11,-0.13,3,8,0.05,-1.35,-0.22,-0.01,-0.3,1,2,0.56,-0.51,0.34,1.1,1,5,9,0
22079,1,8,199402.0,-1.6564,0.2991,19.6759,33.5546,0.1783,0.0331,0.0317,0.0381,0.0465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4871,2,-0.5042,2,0.6,-2.47,-1.41,0.19,-0.33,-3.1,-1.15,0.16,-2.12,0.49,5,0.0,3,2,-1.53,-0.72,0.13,-0.71,-1.04,3,2,-1.23,1.06,-0.17,-0.39,-0.13,2,2,-0.31,0.31,1.02,-0.03,8,4,2,7
22080,1,2,199409.0,-2.0864,0.389,17.3146,29.0906,0.04,0.0178,0.0285,0.0372,0.0463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1123,1,-1.1363,1,0.0,-0.3,-0.97,-1.01,-0.33,-0.33,0.25,-1.89,-0.39,-0.66,2,0.0,1,1,0.26,0.2,-1.51,-0.39,-0.58,1,1,0.91,0.17,0.14,-0.04,-0.47,1,2,-2.05,0.32,0.2,-0.12,1,4,9,0
22082,2,5,199412.0,0.4813,0.2197,46.2708,55.7469,0.9988,0.9157,0.7055,0.1578,0.072,1.0,4.0,53.0,5.0,2.0,1.0,53.0,1.0,1.0,1.0,4.0,53.0,5.0,1.0,53.0,5.0,2.0,-0.9512,1,-0.8444,1,1.76,-0.13,0.1,0.19,-1.57,-0.33,-1.33,-0.67,-0.04,-0.75,11,6.0,8,8,-0.03,0.2,0.3,-0.11,-0.13,8,8,0.01,0.17,0.16,-0.13,-0.13,1,3,-0.31,-0.6,-1.38,-0.4,1,4,12,0
22083,2,6,199504.0,-0.3584,0.2789,34.8418,47.0302,0.9636,0.4669,0.1545,0.0557,0.0506,5.0,4.0,25.0,8.0,0.0,0.0,0.0,5.0,7.0,5.0,4.0,25.0,8.0,0.0,0.0,3.0,5.0,1.0808,5,0.9566,5,-0.57,-0.93,-1.29,-1.03,0.91,1.13,0.69,0.86,-0.37,0.63,11,6.0,1,1,-0.03,-2.26,-1.07,-1.26,-0.13,1,2,-0.25,-0.37,-0.05,-2.49,-0.18,2,1,-2.56,0.03,0.26,0.2,1,5,4,1
22085,2,3,199508.0,0.4278,0.283,45.6136,55.1911,0.9985,0.9034,0.6652,0.1432,0.0692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6298,2,-0.6418,2,-0.57,-0.7,-0.17,-0.16,0.91,-0.47,-0.05,0.5,-0.37,1.01,8,0.0,1,1,-0.7,-1.3,0.25,-0.39,-0.13,1,1,1.6,0.0,1.19,0.04,1.42,4,3,-0.76,-0.6,-1.38,-1.11,1,5,8,4
22087,2,5,199507.0,-0.4342,0.2033,33.6713,46.243,0.9517,0.4023,0.1317,0.053,0.05,4.0,4.0,13.0,5.0,0.0,0.0,0.0,4.0,7.0,4.0,4.0,13.0,5.0,0.0,0.0,3.0,6.0,0.5087,4,0.386,4,0.0,0.11,-0.17,0.55,-1.57,-0.33,-0.77,-0.56,-0.04,0.71,10,8.0,1,1,-0.23,0.43,0.89,-0.23,-0.41,1,2,-0.24,-0.87,0.92,0.09,-0.62,2,1,-1.32,1.09,-0.15,0.0,1,5,7,4
22089,2,6,199510.0,0.3959,0.232,45.2209,54.8605,0.9983,0.8953,0.6403,0.1354,0.0677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4451,4,0.4348,4,0.6,-0.7,0.14,-1.03,1.52,1.27,1.83,1.34,0.43,0.14,10,0.0,1,8,0.72,0.2,1.29,0.42,0.57,1,8,0.01,0.17,-0.44,-0.13,-0.13,2,1,1.25,1.56,1.15,1.1,1,5,10,0
22091,2,8,199508.0,0.4971,0.2535,46.4644,55.9112,0.9989,0.919,0.717,0.1625,0.0729,2.0,4.0,43.0,6.0,6.0,2.0,43.0,2.0,2.0,2.0,4.0,43.0,6.0,2.0,43.0,5.0,2.0,-0.5825,2,-0.6312,2,0.6,-0.3,0.1,-2.11,0.27,-0.33,1.83,-1.82,-0.48,-0.64,10,11.0,1,2,0.48,-0.42,0.87,0.55,0.58,1,2,-0.2,-0.86,0.16,0.98,-0.13,4,3,0.06,1.56,1.15,1.1,1,5,8,0
